iter	MultiClass
0	2.14466659
1	2.035144128
2	1.953151439
3	1.880464138
4	1.808788725
5	1.742599536
6	1.688749877
7	1.634116882
8	1.583707429
9	1.543569471
10	1.501422653
11	1.46328985
12	1.432086001
13	1.404195608
14	1.37452935
15	1.348762951
16	1.32107159
17	1.295630702
18	1.273762423
19	1.253892768
20	1.235030898
21	1.213214583
22	1.196610917
23	1.182896407
24	1.167747941
25	1.150416963
26	1.136782439
27	1.124669974
28	1.110654488
29	1.094910913
30	1.083555634
31	1.069672087
32	1.057798767
33	1.045205631
34	1.033334078
35	1.022024673
36	1.01192446
37	1.004995556
38	0.9971213443
39	0.9874936734
40	0.9775964199
41	0.9716138812
42	0.964329551
43	0.957964555
44	0.953005712
45	0.945116064
46	0.9391322504
47	0.9333213577
48	0.9277650715
49	0.9208179434
50	0.9151066075
51	0.909830662
52	0.9043570072
53	0.9017133145
54	0.89657898
55	0.8932230171
56	0.8896648994
57	0.8853313775
58	0.8809968818
59	0.8771271086
60	0.8718509591
61	0.8691150368
62	0.8653735206
63	0.8633061846
64	0.8603226328
65	0.8586495872
66	0.8559906799
67	0.8519055972
68	0.8504179155
69	0.8472807094
70	0.8462187159
71	0.8438438823
72	0.8419828672
73	0.8390709859
74	0.834732024
75	0.8327572772
76	0.8308213932
77	0.8292230035
78	0.8269109201
79	0.8257795406
80	0.8248571181
81	0.8234589764
82	0.8209007944
83	0.8177561305
84	0.8160963733
85	0.8150817291
86	0.8140329312
87	0.8120497892
88	0.8105189298
89	0.8094339186
90	0.8086219101
91	0.8074701888
92	0.8063697003
93	0.8057213431
94	0.805091454
95	0.8040386961
96	0.8030921309
97	0.8016810252
98	0.7997854488
99	0.7983290118
100	0.7957808944
101	0.7946695089
102	0.7935401366
103	0.7921657742
104	0.790956541
105	0.7889296725
106	0.7881967904
107	0.7869221079
108	0.7862889683
109	0.7855082711
110	0.7849010454
111	0.7835634515
112	0.782691919
113	0.7819330899
114	0.7804524739
115	0.77864824
116	0.777506874
117	0.7766922588
118	0.775544955
119	0.7747758707
120	0.7743906957
121	0.7738883266
122	0.7724881087
123	0.7705324887
124	0.769353689
125	0.7686726374
126	0.7678360716
127	0.7671660313
128	0.7662990739
129	0.7652192371
130	0.7644549031
131	0.7637180387
132	0.7625132744
133	0.7617935927
134	0.7611173943
135	0.7605612482
136	0.7602103906
137	0.7599842519
138	0.7590479272
139	0.7585819616
140	0.7581161393
141	0.7576799406
142	0.7566560596
143	0.755783141
144	0.7554180777
145	0.7546280305
146	0.7540631311
147	0.7535270132
148	0.7532231867
149	0.75280429
150	0.7526272206
151	0.7516062258
152	0.7511332613
153	0.7505692281
154	0.7502140684
155	0.749025717
156	0.7482381797
157	0.7476625212
158	0.7467397342
159	0.7464696997
160	0.7460498298
161	0.7452061846
162	0.7445594882
163	0.7442495444
164	0.743898542
165	0.7429635491
166	0.742380945
167	0.741554028
168	0.7410591553
169	0.7399180981
170	0.7392729929
171	0.7390806228
172	0.7388071376
173	0.7380938831
174	0.7374187224
175	0.7372503508
176	0.7366492255
177	0.73645175
178	0.7360355468
179	0.7357038993
180	0.7354617029
181	0.7348616157
182	0.7344244319
183	0.7341587975
184	0.7335368547
185	0.7333510168
186	0.7325130999
187	0.7316541737
188	0.7309989488
189	0.7305570797
190	0.7298007349
191	0.7293429445
192	0.7283795006
193	0.7277566839
194	0.7273011666
195	0.7270116459
196	0.7265776904
197	0.7263079864
198	0.725823015
199	0.7254919419
200	0.7251241545
201	0.7247331118
202	0.7245623015
203	0.7233475641
204	0.7229443005
205	0.7227709356
206	0.7225156429
207	0.7224341525
208	0.7221286857
209	0.7218103487
210	0.7215182113
211	0.7207293057
212	0.7203772031
213	0.7202454637
214	0.7199824619
215	0.7197062173
216	0.7193556522
217	0.7190115047
218	0.7185419059
219	0.7180856639
220	0.7176571645
221	0.7174099265
222	0.7171685871
223	0.71694256
224	0.7165757511
225	0.716206227
226	0.7157085723
227	0.7153589242
228	0.7146568773
229	0.7143586598
230	0.7140750285
231	0.7136968144
232	0.7131424742
233	0.7130515473
234	0.7123300136
235	0.7119573065
236	0.7115003498
237	0.7110271421
238	0.7102973235
239	0.7097629178
240	0.7093645462
241	0.7088963197
242	0.7084225744
243	0.7078383647
244	0.7073542982
245	0.7068241916
246	0.706429417
247	0.7054402975
248	0.704990441
249	0.7045708031
250	0.7039365702
251	0.7037294447
252	0.7033937601
253	0.7029917062
254	0.7026154504
255	0.7021993295
256	0.7014003302
257	0.7005786677
258	0.699807412
259	0.6991823997
260	0.6987168491
261	0.6980341293
262	0.6972981767
263	0.6965902332
